plate,legal,personalize,meaning
GENER 14,0,1,14-HITLER RELATED. NO 2014 CAR
ICGANDA,0,1,"URBAN DICTIONARY SAYS ""GAND"" MEANS ASS IN INDIA. 103 UP N 44 DWN. BUT GOOGLE PRETTY MUCH SAYS SAME THING"
CHN6ATE,0,1,"""CHINGATE"" IS MEXICAN SLANG FOR FUCK YOU AND IS MARKED UNACCEPTABLE."
DANCE13,0,1,13-GANG NUMBER. NO 2013 CAR
DOMLOVE,0,1,DOM LIKE DOMINANT?
DOOOOSH,0,1,DOUCHE
FUNK EM,0,1,CLOSE TO FUCK EM?
FWB,0,1,FRIENDS WITH BENEFITS
JF14,0,1,14-HITLER RELATED. NO 2014 CAR
KW 88,0,1,88-HITLER RELATED
LOKI31O,0,1,310 CULVER CITY AREA CODE
NE14AJA,0,1,14-HITLER RELATED. NO 2014 CAR
N2DEEP,0,1,SEXUAL
OMWTFYG,0,1,OH MY WHAT THE FUCK
STR842O,0,1,STRAIGHT 420- 4/20 NATIONAL POT SMOKING DAY
YASSPLZ,0,1,"DOES ""ASS"" STAND OUT"
1 RDSKN,0,1,REDSKIN-RACIAL
14GIPPR,0,1,14-HITLER RELATED. NO 2014 CAR
415 SF,0,1,415 BAY AREA CODE
6 RIV 9,0,1,NO 69 REGISTERED YET
JMOR$88,0,1,88-HITLER RELATED
CLUBUD,0,1,"CLUB BUD-BUD LIKE A JOINT/MARIJUANA? FIRST NAME ""VAUGHN"" SO WHERE DOES BUD COME FROM?"
LOW AF,0,1,AF-AS FUCK
AFBLUE,1,1,AF-AS FUCK. VET PLATE
BING 619,0,1,619 SAN DIEGO AREA CODE
OMG FML,0,1,FML-FUCK MY LIFE
POONDOG,0,1,POON IS SLANG FOR VAGINA. URBAN 8897 UP 2750 DOWN. IT IS THEIR LAST NAME
REDDNEK,0,1,SLUR?
REDPEPR,1,1,RED-GANG COLOR
SKZOKTY,0,1,KITTY-VAGINA. HER BUSINESS IS A EROTIC BOUTIGUE
IEATASS,0,1,I EAT ASS
AF 911,0,1,911 EMERGENCY
AGGIE14,0,1,14 GANG REFERENCE
AYKAY,0,1,AK 47 GUN
BLUE731,1,1,BLUE
CALGIRL,0,1,CALL GIRL
COOCOO,0,1,CRAZY ALSO A SOUND A COO COO CLOCK MAKES OR IT COULD BE COCO
DAJAKER,0,1,THE JACKER
DON PYRO,0,1,PYRO FIRE
EGOKLLR,0,1,EGO KILLER
FOODPRN,0,1,FOOD PORN
FUEL PG,1,1,FUEL PIG
F3O5,0,1,FUCK MIAMI 305
GUNOHNR,0,1,GUN OWNER
HAILLLM,0,1,SOUNDS LIKE HELL
HEM PIRE,0,1,LOOKS LIKE HEMP
HYE LIFE,0,1,HIGH LIFE
JD RDNK,0,1,RED NECK
JOEY 911,0,1,911 EMERGENCY
MAT GHAT,0,1,GAT AS IN GUN
MEMOS 8O,1,1,MEMOS IN SPANISH MEANS FOOL CRAZY
MENI 323,0,1,323 AREA CODE
MIKOO14,0,1,14 GANG REFERENCE
MMMK666,1,1,666 DEVIL
MT BLUE,1,1,BLUE
NIKHATE,0,1,HATE
OG SNAIL,0,1,ORIGINAL GANGSTER
OMW2FSU,0,1,ON MY WAY TO FUCK SHIT UP
RD DEVIL,1,1,DEVIL
SNO BNNY,0,1,SNOW BUNNY IS ANOTHER WORD FOR WHITE GIRL
SUBI 714,0,1,714 AREA OCDE
SUCEEYA,0,1,DIRTY OR NASTY
TATA,0,1,BREAST
TEKATO,0,1,SLANG FOR DRUG USER PER URBAN DICTIONARY
UGLY 392,1,1,UGLY
YA BUTT,0,1,BUTT
408RYDER,0,1,408 AREA CODE
6SEIS6,1,1,666
88LEO9O,0,1,88 HITLER REFERENCE
DRAGNU2,0,1,DRAGGING YOU TOO
WHO RYDZ,0,1,HOO RIDE.. TO DO DRIVE BYS
13 RAT,0,1,13 GANG REFERENCE
#BALGRL,0,1,HAND BALL GIRL
DK$LOVE,0,1,LOOKS LIKE DICKLOVE
FKBGM,0,1,FUCK BITCHES GET MONEY
FUCK888,0,1,FUCK LUCK
G THANG5,0,1,G THANG AS IN GANGSTA THANG
KENZ 14,0,1,14 GANG REFERENCE
LAPCSUP,0,1,LOOKS LIKE PUSSY PAL BACKWARDS
PETPIM P,0,1,PET PIMP
RLNTERD,0,1,LOOKS LIKE ROLLING TERD
OMW2FYC,0,1,"ON MY WAY TO FUCK YOUR ""C"" COULD MEAN VARIOUS THINGS"
MYGLK15,1,1,LOOKS LIKE MY GLOCK AS IN GUN
831 JEEP,0,1,831 AREA CODE
BA323MA,0,1,323 CA AREA CODE
CPT POOP,0,1,PULL FOR POOP?
MSTR BTS,0,1,"MISTER BATES, MASTER BATES? LAST NAME IS BATES"
OMW2DYB,0,1,ON MY WAY TO DO YOUR BITCH?
PISSDOF,0,1,PISSED OFF
PPS 14,0,1,14-HITLER
SUPR OOH,0,1,"SUPER OH, ORGASM?"
2FKNSLO,0,1,TOO FUCKIN SLOW
FTW GEAR,0,1,FUCK THE WORLD
HETTMOB,0,1,MOB.. LAST NAME IS HETT
FKURLSX,0,1,FUCK YOUR LSX
PAEZ51O,0,1,CA AREA CODE
AWW SHET,0,1,AW SHIT
OMG H8R,0,1,HATER
PAYAN 88,0,1,88-HITLER
RUGER 13,0,1,13-GANG
TURBO HO,0,1,HO
14CS 1O1,0,1,14-HITLER
3SHTTYZ,0,1,THREE SHITTIES
69 LEON,0,1,COULDN’T VERIFY 69 VEHICLE
#54H8TN,0,1,HATING
$CHUCHI,0,1,"GOOGLE BRINGS UP ""BREAST"" IN HINDI (THO NOT SPECIFIED AS SEXUAL), SLANG FOR ""PUSSY"" IN ENGLISH, AND ""BEAUTIFUL"" IN SPANISH"
RFS&88,0,1,88-HITLER. RFT SHOWN AS INITIALS
V POKER,0,1,VAGINA POKER? POKER VAGINA? VIDEO POKER
AMATERU,0,1,"NOT SURE WHAT IT MEANS BUT IT BROUGHT UP A LOT OF PORN SITES ON GOOGLE. PORN SHOWN UNDER THE ""VIDEO"" CATEGORY BUT NOTHING BAD UNDER THE ""IMAGES"" CATEGORY"
BAC DOR,0,1,BACK DOOR… SEXUAL?
DON’T H8T,0,1,HATE
P9OD FTW,0,1,FUCK THE WORLD
45 GLOCK,0,1,GLOCK. GUN
MDR LIVN,0,1,MURDER LIVIN'. CUSTOMER LIVES IN MARINA DEL REY. ON A WHALE TAIL PLATE
AMZ TFF,0,1,TFF-THAT’S FUCKING FUNNY
BIG BNR,0,1,BIG BEANER
BIYOTCH,0,1,BITCH
CHAMP14,0,1,14-HITLER
CRZY ACR,0,1,ACR IS A RIFLE
DZZ NTZ,0,1,DEEZ NUTS
F TURBOS,0,1,FUCK TURBOS
F UPFORD,0,1,FUCK UP FORD
H8 UCLA,0,1,HATE
LKY13JJ,0,1,LUCKY 13
MADBALS,0,1,MAD BALLS
MNKY BOY,0,1,MONKEY BOY…. OFFENSIVE?
OMY2FYB,0,1,FUCK YOU BITCH
PIE VAN,0,1,PUSSY VAN?
SQUAD G,0,1,G- LAST NAME IS GADBERRY
THUGRMY,0,1,THUG ARMY
TTYL B,0,1,TALK TO YOU LATER BITCH
UCLA SUC,0,1,UCLA SUCKS
UROTRSH,0,1,EURO TRASH
VAS 69,0,1,COULDN'T VERIFY 1969 VEHICLE
WZSTRPR,0,1,WISE STRIPPER
YAYO M12,0,1,YAYO-COCAINE
YEYO TOY,0,1,YEYO- COCAINE
8O5 C1O,0,1,8O5 CA AREA CODE
$GLOCK29,0,1,GLOCK-GUN
CB HO,0,1,HO
RR88RS,0,1,88-HITLER
ECBMF,0,1,ECB-CUSTOMERS INITIALS. MF-MOTHER FUCKER
NEED FWB,0,1,NEED FRIEND WITH BENEFITS
PSSTGFY,0,1,PSST GO FUCK YOURSELF
WHTWDOW,0,1,WEED
AIM LOW,0,1,AIM LOW ..GENITAL PUNCH
FAMILY G,0,1,G AS IN GANGSTER.. CUSTOMER LAST NAME STARTS WITH A G
FITE ME,0,1,FIGHT ME
H8CODE B,0,1,HATE
LIL MNKY,0,1,MONKEYSLANG FOR VAGINA OR USED AS A DEROGATORY TERM FOR AFRICAN AMERICAN
NO PLN B,1,1,PLAN B IN BOTH CASES MEANS ALTERNATIVE ..OPTION.. BUT COULD MEAN BIRTH CONTROL OR COULD MEAN ANOTHER OPTION
R3A3I1B,1,1,CAN NOT TRANSLATE NO MICRO
SYD BTCH,0,1,SIDE BITCH
$SHACK,0,1,LOVE SHACK
KAVI911,0,1,KAVI IS ANOTHER NAME FOR DRUGS 911 EMERGENCY
K8KSAWD,1,1,LOOKS LIKE SAWED..
NH4CLO4,1,1,CAN NOT TRANSLATE NO MICRO
BI8U,0,1,LOOKS LIKE BITCH I ATE YOU LIKE A RACING TERM
BPEW PEW,0,1,PEW PEW GUN SOUND
CLAMG14,0,1,14 GANG REFERENCE
DMB4EVR,0,1,DUMB FOREVER
DUSTY 14,0,1,14 GANG REFERENCE
FHRITP1,0,1,FUCK HER RIGHT IN THE PUSSY
FTW1970,0,1,FUCK THE WORLD
HD SMKY,0,1,SMOKY
HERZWRK,1,1,HERS WORK
IAM A415,0,1,415 AREA CODE
IEGT3PR,1,1,
JI88Y 9,0,1,88 HITLER REFERENCE
KATTS,0,1,CAT
LAKR GNG,0,1,GANG
OBEACHN,0,1,LOOKS LIKE O BITCHIN
OMW2FYH,0,1,ON MY WAY TO FUCK YOUR ?
QWIK M3,0,1,
RTFATAL,0,1,FATAL
SHTF,0,1,SHIT HITS THE FAN
SLAV ONE,0,1,SLAVE
SMKD 88,0,1,88 HITLER REFERENCE
SWTASME,1,1,SWEET AS ME
SYZL D,0,1,SIZZLE D
THE PLMN,0,1,THE PILL MAN
TYE FTR,1,1,THAI FIGHTER
WGNS FTW,0,1,FUCK THE WORLD
ZO6 HUTR,0,1,LOOKS LIKE ZO6 HUNTER
IF2W COM,1,1,CAN NO TRANSLATE OR FIND A WEBSITE
3BX 415,0,1,415 AREA CODE
442 67,0,1,442 AREA CODE
$KRISH G,0,1,G AS IN GANGSTER
RBY&RED,1,1,RED
&WRZ5OI,1,1,LOOKS LIKE STAR WARS
Z14TAHO,0,1,14 GANG REFERENCE
1BAR3,0,1,13 GANG REFERENCE
BDKTYKC,0,1,BAD KITTY
BLU CRZN,1,1,BLUE CRUISIN
BLU LOJ,1,1,BLUE
CARE 415,1,1,415 AREA CODE(HOWEVER THIS IS A BUSINESS AND THEY ARE ALSO ORDERING CARE 412-416
CARGASM,0,1,AS IN ORGASM BECAUSE OF A NICE CAR
COUKOO,0,1,AS IN CRAZY
IAM1DAF,0,1,I AM ONE DRUNK AS FUCK
RED RBEL,0,1,RED REBEL
SKYE BLU,1,1,BLUE
HELOQWK,0,1,LOOKS LIKE HELLA QUICK
SNOTHOT,0,1,"SNOT HOT , OR SNOW THOT"
THUGGIN,0,1,THUG…
BB PLYM,1,1,LOOKS LIKE 88 PLYMOTH
BDS A1,0,1,LOOKS LIKE BAD ASS A1
BIGG G,0,1,BIG GANGSTER
BLU SHOE,1,1,BLUE SHOE
CALI 323,0,1,323 AREA CODE
CALI 626,0,1,626 AREA CODE
CA YEYO,0,1,YEYO IS COCAINE
CUPGANG,0,1,GANG
EFJAY,0,1,FUCK JAY
FN 2I87,0,1,FN LOOKS LIKE FUCKIN
G FOLK,0,1,G AS IN GANGSTER
GIGITTE,0,1,GIGITTY
GOCMNDO,0,1,GO COMANDO.. UNDERWEAR LESS
G PESOS,0,1,G AS IN GANGSTER
HULK818,0,1,818 ARA CODE
IMBLAZE,0,1,BLAZE AS IN SMOKE WEED
KTRASH8,0,1,TRASH.. COULD BE DIRECTED AT SOMEONE
LANJ14,0,1,14 GANG REFERENCE
LA71OSS,0,1,710 AREA CODE
LT M UP,0,1,"LIGHT EM UP, COULD REFER TO SHOOTING FIGHTING OR DRUGD"
MATYCAT,0,1,CAT
MEOWZZZ,1,1,MEOW CAT REFERENCE
MGUNZZZ,0,1,GUN
MLKWEED,0,1,WEED
PAPPY G,0,1,G AS IN GANGSTER
TYFTR,1,1,FTR LOOKS LIKE FIGHTER
14U 2PAY,0,1,14 GANG REFERENCE
8 ATUM 8,0,1,88 HITLER REFERENCE
889 88,0,1,88 HITLER REFERENCE
COSHINO,0,1,LOOKS LIKE COCHINO WHICH MEANS PIG
SUWEEE,0,1,THE CALLING OF A PIG (PIG CALL)
ZED DED,0,1,DEAD
KLN$ROB,0,1,KLN LOOKS LIKE KILLING
RVRRED,0,1,RED
BTY PTRN,0,1,BTY LOOKS LIKE BOOTY
DUDU SML,0,1,DOO DOO SMALL
G DAGHER,0,1,G AS IN GANGSTER DAGHER LOOKS LIKE DAGGER
JLP MFG,0,1,MFG MOTHERFUCKING GANGSTER
JLP MFG1,0,1,JLP MOTHERFUCKING GANGSTER (JLP MANUFACTURING IS THE COMPANY NAME FOR THIS ORDER)
MF VAPE,0,1,MOTHER FUCKING .. VAPE SMOKE
MNI CAKS,0,1,CAKES ANOTHER WORD FOR BUTT
RDGDMSL,0,1,MSL LOOKS LIKE MISSLE
X RATED,0,1,X RATED PORN
BRAP,0,1,THE SOUND A GUN MAKES
RAVNRED,1,1,RED
WGLY BUT,0,1,WIGGLY BUTT
DCKHEAD,0,1,DICKHEAD
FALCN 18,0,1,18-HITLER
FUCKK IT,0,1,SELF EXPLANITORY
HPPYKLR,0,1,HAPPY KILLER
OCHEITT,0,1,OH SHIT
OGE3OM3,0,1,OG
SUPERDD,0,1,DD. DOUBLE D'S?
WHYU H8N,0,1,HATE
818 LAND,0,1,818 CA AREA CODE
6O3,0,1,603 CA AREA CODE
AF WAGON,0,1,AS FUCK WAGON?
DOCOFBA,0,1,DOCTOR OF BADASS
NACLBLS,0,1,NACL IS SCIENTIFIC TERM FOR SALT… SALT BALLS?
GS14BBY,0,1,14-HITLER
SSTAR13,0,1,13-GANG
ALL BLKS,0,1,RACIAL? WHAT THEY SAY IS TRUE
AUW13 88,0,1,13 N 88- GANG N HITLER RELATED
BEACHN N,0,1,BITCHEN?
BGREDII,1,1,RED-GANG COLOR
BIRD 4O8,0,1,SAN JOSE AREA CODE
BLZDEEP,0,1,BALLS DEEP
B MFB,0,1,MFB-MOTHER FUCKING BEAST
BOINK,0,1,SLANG FOR SEX
BAMF V8,0,1,BAD ASS MOTHER FUCKER
BUD TEE,0,1,"GOOGLE SHOWS A T-SHIRT PLACE WITH MARIJUANA ON THEM ""BUD"" IS POT. NOT HIS NAME"
CHOLOLO,0,1,CHOLO IS GANG SLANG
D PATH88,0,1,88-HITLER RELATED
D3C14 3M,1,1,14-GANG NUMBER
EFF MPG,0,1,EFF-SLANG FOR FUCK
FOLEY14,0,1,14-GANG NUMBER
JEFE 8O5,0,1,8O5 SANTA BARBARA AREA CODE
JEEPNTT,1,1,"GUY ORDER 2 PLATES BOTH WITH TT ON THEM WHICH IS PENIS IN TAGALOG. HE HAS A LOT OF CARS BUT I CAN ONLY SEE 1 JEEP AND HIS NAME STARTS WITH A ""T"""
JEPN TT,1,1,SEE ABOVE
LAFC 13,0,1,13-GANG NUMBER
LV MSHN,0,1,LOVE MACHINE? I THINK WE HAD SOMETHING SIMILAR THAT WAS PULLED.
MIKE619,0,1,618 SAN DIEGO AREA CODE
MMAP88,0,1,88-HITLER RELATED
MONKYLV,0,1,MONEKY HAS 2 SLANG MEANINGS RACIAL AGAINST AFRICAN AMERICANS AND CAN BE SLANG FOR VAGINA
MY13CAM,0,1,13-GANG NUMBER
NA145TV,0,1,415 SAN FRAN AREA CODE
NO BOPS,0,1,URBAN/GOOGLE BOTH SAY IT MEANS BLOWJOBS
PANAM18,0,1,18-HITLER RELATED
PB13Y27,0,1,13-GANG NUMBER
PLUM KTY,0,1,GOOGLE SHOWS A LINGERIE SHOP? KITTY CAN BE SLANG FOR VAGINA
PRIIKLR,0,1,KILLER?
RAAACK,0,1,RACK IS SLANG FOR BREAST
RAINSUX,0,1,SUX-SUCKS
REDROST,0,1,RED-GANG COLOR
REDSVEN,0,1,RED-GANG COLOR
RED5XWG,1,1,RED-GANG COLOR
R2O9LSX,0,1,209 TRACY AREA CODE
SHAAN 88,0,1,88-HITLER RELATED
S KIKE,0,1,KIKE IS A RACIAL SLUR TOWARDS JEWISH PEOPLE
SMKWEED,0,1,SMOKE WEED/MARIJUANA
TGOD RAW,0,1,RAW-SEX WITHOUT CONDOM
TNKBLUE,1,1,BLUE-GANG COLOR
TNT CHK,0,1,TNT-EXPLOSIVES?
TRD SER1,0,1,TRD-RETARD? DOES HAVE A TOYOTA
UNIX 69,0,1,NO 69 CAR
VJJ 21,0,1,VJJ-IS SLANG FOR VAGINA. IT IS HIS INTIALS
WHYTRSH,0,1,WHITE TRASH
2DEEP4U,0,1,CAN BE SEXUAL
66BDASC,0,1,66 BAD ASS
88 FTW,0,1,"88-HITLER RELATED.  DOES HAVE A 88 REGISTERED BUT ""FTW"" FUCK THE WORLD"
916 MVRS,0,1,916 SACRAMENTO AREA CODE
NGAWDZ#,0,1,NGA-NIGGA?
TRGATLO,0,1,"MEANS ""EAT IT"" BUT IN A DIFFIRENT WAY PER DAVID"
BYGMFU,0,1,FU-FUCK YOU. VET PLATE
BRK BKS,0,1,BREAK NECKS?
CAL BLU,1,1,BLUE-GANG COLOR
DATATHO,0,1,"SAW ""HO"" WHORE BUT HE DOES HAVE A 32 FORD"
FKN MOVE,0,1,FUCKEN MOVE
HLNBALZ,0,1,HALEN BALLS
INKPIGG,0,1,PIG?
KUSH3O2,0,1,KUSH IS A STRAIN OF MARIJUANA AND ALSO A MAGAZINE ABOUT IT
O FOXGVN,0,1,ZERO FUCKS GIVEN
OMW2FYA,0,1,ON MY WAY TO FUCK YOU
REDDFOX,1,1,RED-GANG COLOR
SB 31O,0,1,310 LA AREA CODE
SUKHI 13,0,1,13-GANG NUMBER
88CLACK,0,1,88-HITLER RELATED. DOES HAVE A 88 REGISTERED
88KLACK,0,1,SAME GUY AS ABOVE HE HAS 2 88 CARS REGISTERED
18A4RE,0,1,18-HITLER
88ML888,0,1,88-HITLER
BUSHI1O,0,1,BUSHY 10.. BUSHY DIME? VAGINA?
CODE 51O,0,1,CA AREA CODE
F KABIRI,0,1,FUCK KABIRI
INK PIG,0,1,PIG
KGTOFH8,0,1,KNIGHT OF HATE
MINZ51O,0,1,CA AREA CODE
OG MINI,0,1,OG
SCAL619,0,1,CA AREA CODE
SIGI2O9,0,1,CA AREA CODE
SIK BISH,0,1,SICK BITCH
SLW AF,0,1,SLOW AS FUCK
WT RABIT,0,1,MULTIPLE DRUG REFRENCES
2BIG4U,0,1,TOO BIG CAR..DICK?
88HENRY,0,1,88-HITLER. BIRTH YEAR CONFIRMED
GLD DRGN,0,1,COULD BE SLANG FOR LSD
LADS13,0,1,13-GANG
65O BOLT,0,1,CA AREA CODE
U$DACOK,0,1,YOU LOVE THE COCK
CAMI BUS,0,1,"CANNIBUS WITH AN ""M"""
FN PITTS,0,1,FUN PITS…FUCKIN PITS?
IKWEENB,0,1,QUEEN BEE…. BITCH?
EF 6,0,1,EF-SLANG FOR FUCK
KKEL42O,0,1,420-NATIONAL POT SMOKING DAY
MD 69XD,0,1,NO 69 VEHICLE ON RECORD
SCOTT 14,0,1,14-HITLER RELATED. DID ANI NO RECORD OF VEHICLES SO IF HE HAS A 2014 IT DOESN'T SHOW UP
VOCALMF,0,1,MF-MOTHER FUCKER
MY COOTR,0,1,"COOTER IS SLANG FOR VAGINA URBAN 451 UP 911 DOWN. ""COOTER"" IS CURRENT"
AF INC,0,1,AF- AS FUCK.  IT IS HIS INTITALS
BCNAF,0,1,AF-AS FUCK.
BUZBOMB,0,1,"BUSS-STONED, BOMB-WEAPON"
COLITA,0,1,COLITA IS MARIJUANA BUD. AND IT IS IN THE SONG HOTEL CALIFORNIA BY THE EAGLES
CTCH 14,0,1,14-HITLER RELATED.
DK PSNGR,0,1,DK-DICK?
EST6T9,0,1,NO 69 CAR
FATALEX,0,1,HE IS CALLING HIMSELF FAT SO?
FUHRER,0,1,ASSOCIATED WITH HITLER
HAUDIHO,0,1,HO-WHORE
KYLORED,0,1,RED-GANG COLOR
MUFC OO7,0,1,FC-FUCK
OG BATMN,0,1,OG-ORIGINAL GANGSTER
ST TRUPR,0,1,I SAW STATE TROOPER
YOURMAD,0,1,PROVOKING?
4CBK13,0,1,13-GANG NUMBER
619CHEF,0,1,619 EL CAJON AREA CODE
5O KLBR,0,1,50 CALIBAR-GUNS
BIGSACK,0,1,BALLS. MC PLATE
BALS VET,0,1,BALLS? NAME IS ROBERTO
BBONGCO,0,1,BONG IS SOMETHING YOU SMOKE MARIJUANA IN
F1OO183,0,1,OLD PLACARD NUMBER
RBN 88,0,1,88-HITLER RELATED
REDLYNE,0,1,RED GANG COLOR
14 FLEX,0,1,14-HITLER RELATED. NO 2014
69CRZIN,0,1,NO 69 CAR
IH8IED,0,1,HATE-? IED-IMPROVISED EXPLOSIVE DEVICE. VET PLATE
CRPLHLR,0,1,CRIPPLE HEALER?
FISH HRD,0,1,HARD?
/A2ZCARS/,1,1,"Sexual, looks like ASS CARS"
BRN/PRD,0,1,"Brown Pride, race"
/DEALERS/,0,1,Drug dealer
GLC*48*/,0,1,Glock 48 hand gun
/M6OGNR/,0,1,M60 tank gunner weapon
/FISHNFU/,0,1,FISH AND FUCK YOU
/HEDMSTR/,0,1,Sexual
MKW*ZO6/,0,1,1960's plate lookalike 3 letter 3 number
NOT/SOFT,0,1,Sexual
RT2CARRY,0,1,"Gun control, may be offensive/conflict"
/2SMOKE/,0,1,"Smoking, potentially drug related"
S5EUL8R/,1,1,Number as a letter
FORCE/FD,0,1,"Force Feed, potentially violent meaning"
EFIN363/,0,1,EFIN 363 sounds like Fucking 363
CYZMTRS/,0,1,"Size Matters, potentially sexual"
CYANIDE/,0,1,Poison
BLAK/RAG,0,1,Gang related *RAG* is on list of unacceptable
ABLKTHG,0,1,A BLACK 'THING' OR THUG
BKNBDYS,0,1,HOSTILE
BLUE442,1,1,blue=gang color. I don’t find this car on ani
BOANGKA,0,1,"google translate says it means 'you fool' urban dictionary says it means 'you're crazy' but it is very harsh, like a curse word"
BUBBY G,1,1,"bubby means grandmother, g=gangster but her name is Gloria"
BUD G66,0,1,"bud=marajuana, g=gangster"
CATBITE,0,1,CAT=PUSSY. HAS A DODGE
COKE S7,0,1,coke
DAJAAL,1,1,Dajjal is an evil figure in Islamic eschatology. He is to appear pretending to be the Masih (i.e. the Messiah) at a time in the future. (Islam's Antichrist) not out with correct spelling..
DICKEE,0,1,"PENIS, HER NAME ISNT RICHARD"
DRTYMX7,1,1,"dirty mex? 7DRTYMX & DRTYMX out SINCE 2015 AND 2013, DRTYMX1 is unacceptable. Didn’t see any others. Does have a diesel Ford truck"
DU PHUC,0,1,da fuck?
FCKMALL,0,1,FUCK EM ALL
FG PTRL,0,1,FAG PATROL?
FLMNCFN,0,1,FLAMING? EFFING?
FN B3AST,0,1,fucking beast
FUHQVDM,0,1,"FUCK YOU, DAMN."
HAPPI B,0,1,happy bitch
HEL TITI,0,1,"HELL, TITI=PENIS IN TAGALOG"
HUMMA  U,0,1,"HUMMER YOU, SEXUAL CONNOTATIONS… NO HUMMER ON ANI"
H8 DIGS,0,1,hate
ISFAP,0,1,"has a Lexus, pulled for 'fap' means masturbating"
JP4BAJA,1,1,jeep or Jap? No Jeep comes up on ani
KATS53,1,1,"PULLED FOR KAT, HER NAME IS KATHLEEN AND SHE HAS A 1953 CHEVY."
KRZY KUS,0,1,"CRAZY CUZ, CUZ IS A GANG (CRIP) TERM"
LGLYPNK,0,1,"LEGALLY PINK, PULLED FOR PINK=VAGINA"
MELLCAT,0,1,"no Dodge on ani, pulled for cat"
MOMS BOX,0,1,box=vagina. She has a 2006 Toyota BTM=UT
M4 FU,0,1,"FU=FUCK YOU. IT IS HIS WHOLE LAST NAME. M4 IS A BMW, HE HAS ONE"
NISMO5O,1,1,HAS NISSAN BUT 50=POLICE
NSLRD8R,0,1,JUST PULLED FOR 'ATE HER' OR 'EATER' ON THE END.
RD COMET,1,1,RED=GANG COLOR
RED2OO1,1,1,"HAS 2001 CHEVY, RED=GANG COLOR"
SASY AF,0,1,SASSY AS FUCK
SHOTZ4U,0,1,"SHOTS, GUN?"
SPR BLZN,0,1,"super blazing, drug reference. No Chevy Blazer on ani"
SSTUPID,0,1,STUPID… OK? HAS 2 CHEVYS
TRADCAT,0,1,"CAT=PUSSY. HAS A HONDA, NO CAT CAR"
TTSNBUR,0,1,TT=PENIS IN TAGALOG OR TITTIES.. NOT SURE OF SONG TITLE. NO AUDI
YUK14,1,1,"14=hate symbol, customer has a 2014 BMW"
2SEXC4U,1,1,"too sexy for you. didn’t pull because of meaning(sexy) but because of the spelling, 'sex' is more noticeable. Found 4 similar out there and 1 unacceptable"
51MORDR,1,1,LOOKS LIKE MURDER
63MOLLY,0,1,"molly can have drug connotations, not customer's name"
8GATOR8,0,1,"88=HATE SYMBOL, NO 1988 CAR"
95 SEXUV,0,1,"SEX UV MEANING SUV, PULLED FOR SEX"
PUERCO 1,0,1,puerco means pig and in Mexico is slang for police. Customer does have a harley and this is a m/c plate
TRMF GRL,0,1,"MF, customer is Traci Clever. Not her name or initials"
CHMPR$B,0,1,b=bitch
PAPA$13,0,1,"13=GANG NUMBER, NO 2013 CAR ON ANI"
TBLSTI,0,1,thin blue line and TBL=police
BADAS DR,0,1,bad ass doctor
BDY PTRL,1,1,BODY PATROL=CORONER?
KIKE 16,0,1,KIKE=a contemptuous term used to refer to a person of Jewish religion or descent.
MOTA YO,0,1,"mota=slang for marijuana, it is customer's last name"
PISTLRO,0,1,PISTOLERO=A GUNMAN OR A GANGSTER (SPANISH)
1MUNCH,1,1,MUNCH=EAT
2BAD4YU,1,1,"BECAUSE OF ""YOU"""
88 SWX,0,1,"88=HATE SYMBOL, NO 1988 CAR"
LOVE8O5,0,1,805 ventura area code
XXX SML,0,1,XXX=PORN
ABSTACO,0,1,TACO
ANY1KLA,0,1,KLA LOOKS LIKE KILLA
AWD PSI,1,1,PSI LOOKS LIKE A SEXUAL REFERENCE
BK BIRD,1,1,BK BLOOD KILLER OR BLACK BIRD
BK9GEAR,1,1,BK BLOOD KILLER
BYRNER,0,1,BURNER
CHULASS,0,1,LOOKS LIKE CUTE ASS CHULAS IS SPANISH FOR CUTE
DIE4QTR,0,1,DIE
DMAGNTT,0,1,CUSTOMER NAME IS D. MAGNETT HOWEVER THIS LOOKS LIKE D AS IN DICK MAGNET
DMIRISH,0,1,DAMN IRISH
DMMDNYL,0,1,DAMN DANIEL
DNT BTCH,0,1,DON’T BITCH
DORF RN,0,1,DWARF NURSE
D ROK818,0,1,818 AREA CODE
DTH E8ER,0,1,DTH E8ER DEATH EATER
D849O21,0,1,LOOK A LIKE
EF EWE2,0,1,FUCK YOU EFF YOU
FK IT O1,0,1,FUCK IT
FLIP 76O,1,1,760 AREA CODE
FN SLYR,0,1,EFFIN SLAYER FUN SLAYER
G HAUS,0,1,G AS IN GANGSTER
G STATE,1,1,G AS IN GANGSTER
HABICHT,0,1,HA BITCH
HA IDGAF,0,1,HA I DON’T GIVE A FUCK
HECKA55,0,1,COULD BE HECKA 55 ALSO LOOKS LIKE HECKA ASS
HEMI714,0,1,714 AREA CODE
HOLYFCK,0,1,HOLY FUCK
HTSHTZ1,0,1,LOOKS LIKE HOT SHOTS OR HOT SHITS
HUF4RTD,0,1,WHO FARTED
ITFDB67,0,1,FDB FUCK THAT BITCH
I 707 I,1,1,707 AERA CODE
KLNSPRE,0,1,KILLING SPREE
KYLSEAN,0,1,KILL SEAN
KYLSTRK,0,1,KILL STREAK
LA 88,0,1,88 HITLER REFERENCE
LGBTQ,1,1,LESBIAN GAY BISEXUAL TRANS QUEER ONLY PULLING AS CUSTOMER COULD BE TARGETED
